Category,ItemCode,Barcode,ItemName,Unit,P/Rate,S/Rate
NIGHTIES LONG,NU7111,100902,NURTEKS,PCS,"5,990.00","5,990.00"
NIGHTIES LONG,BO3006,100903,BONDY,PCS,"5,990.00","5,990.00"
NIGHTIES LONG,L8803HS,100921,NON B,PCS,"1,850.00","1,850.00"
NIGHTIES LONG,LZF04,100922,NON B,PCS,"1,950.00","1,950.00"
NIGHTIES LONG,BO3017,100960,BONDY,PCS,"4,990.00","4,990.00"
NIGHTIES LONG,PC4309,100983,PIERE CARDIN,PCS,"5,990.00","5,990.00"
NIGHTIES LONG,BO3382,101022,BONDY,PCS,"4,990.00","4,990.00"
NIGHTIES LONG,NK1190635,101087,NON B,PCS,"1,990.00","1,990.00"
NIGHTIES LONG,BO001AST,101227,UN KNOWN,PCS,"4,990.00","4,990.00"
NIGHTIES LONG,BO002AST,101228,UN KNOWN,PCS,"4,990.00","4,990.00"
NIGHTIES LONG,DM4229,101296,DIVA MORE,PCS,"1,990.00","1,990.00"
NIGHTIES L+G,NK4006,100043,NON BR,PCS,"4,995.00","4,995.00"
NIGHTIES L+G,NK536,100044,NON BR,PCS,"2,390.00","2,390.00"
NIGHTIES L+G,NK2120,100045,NON BR,PCS,"2,295.00","2,295.00"
NIGHTIES L+G,NK0043,100046,NON BR,PCS,"4,995.00","4,995.00"
NIGHTIES L+G,NK0046,100047,NON BR,PCS,"4,995.00","4,995.00"
NIGHTIES L+G,NK0060,100048,NON BR,PCS,"4,990.00","4,990.00"
NIGHTIES L+G,NK0059,100049,NON BR,PCS,"4,990.00","4,990.00"
NIGHTIES L+G,NK2112,100050,NON BR,PCS,"2,295.00","2,295.00"
NIGHTIES L+G,NK3864,100051,NON BR,PCS,"3,590.00","3,590.00"
NIGHTIES L+G,PC4370,100052,PIER CARDIN,PCS,"12,990.00","12,990.00"
NIGHTIES L+G,V2134,100053,VERSACE,PCS,"9,590.00","9,590.00"
NIGHTIES L+G,BO6369,100054,BONDY,PCS,"6,990.00","6,990.00"
NIGHTIES L+G,BO17228,100055,BONDY,PCS,"5,590.00","5,590.00"
