Date,Sales,Average Discount
24/08/2019,57916,50
25/08/2019,13650,48
26/08/2019,12475,50
27/08/2019,410,0
28/08/2019,23156,50
29/08/2019,15701,0
30/08/2019,15860,0
31/08/2019,17080,45
01/09/2019,30682,27
02/09/2019,10791,50
03/09/2019,13626,40
04/09/2019,21874,0
05/09/2019,3970,0
06/09/2019,3315,0
07/09/2019,34766,50
08/09/2019,33593,44
11/09/2019,38756,50
12/09/2019,34773,50
13/09/2019,28990,50
14/09/2019,20519,45
15/09/2019,36985,48
16/09/2019,6970,0
17/09/2019,16575,50
18/09/2019,33876,0
19/09/2019,7335,50
20/09/2019,15597,0
21/09/2019,43803,50
22/09/2019,41138,40
23/09/2019,13096,50
24/09/2019,9956,50
25/09/2019,6670,0
26/09/2019,18070,50
27/09/2019,57318,50
28/09/2019,14016,50
29/09/2019,31369,50
30/09/2019,6660,0
01/10/2019,20058,45
02/10/2019,30536,50
03/10/2019,22620,50
04/10/2019,22477,0
05/10/2019,20878,50
06/10/2019,20980,50
07/10/2019,29815,50
08/10/2019,11136,50
09/10/2019,3150,50
10/10/2019,5755,50
11/10/2019,11190,50
12/10/2019,26686,50
13/10/2019,28922,50
14/10/2019,17990,50
15/10/2019,31192,50
16/10/2019,20877,50
17/10/2019,14800,50
18/10/2019,1735,0
19/10/2019,19367,0
20/10/2019,18169,45
21/10/2019,26007,0
22/10/2019,27035,50
23/10/2019,3555,0
24/10/2019,10835,50
25/10/2019,43937,50
26/10/2019,15400,50
27/10/2019,21614,20
28/10/2019,13091,50
29/10/2019,17008,50
30/10/2019,16305,50
31/10/2019,31176,50
01/11/2019,13645,50
02/11/2019,26241,50
03/11/2019,20402,50
04/11/2019,21505,50
05/11/2019,18752,50
06/11/2019,27067,50
07/11/2019,8980,0
08/11/2019,12315,50
09/11/2019,34667,50
10/11/2019,57962,50
11/11/2019,53406,50
12/11/2019,61717,38
13/11/2019,13351,0
14/11/2019,9131,50
15/11/2019,31597,40
16/11/2019,28956,50
17/11/2019,18962,50
18/11/2019,28202,50
19/11/2019,17622,0
20/11/2019,22126,50
21/11/2019,43971,0
22/11/2019,34315,50
23/11/2019,25795,48
24/11/2019,29720,50
25/11/2019,7925,50
26/11/2019,19960,50
27/11/2019,8110,50
28/11/2019,49732,20
29/11/2019,61196,30
30/11/2019,65001,31
01/12/2019,24197,43
02/12/2019,16672,36
03/12/2019,21675,50
04/12/2019,33556,50
05/12/2019,7365,0
06/12/2019,19585,50
07/12/2019,19595,50
08/12/2019,31438,50
09/12/2019,11542,0
10/12/2019,15265,0
11/12/2019,11465,50
12/12/2019,13906,0
13/12/2019,25419,50
14/12/2019,34667,50
15/12/2019,59509,50
16/12/2019,30201,48
17/12/2019,33175,50
18/12/2019,46601,50
19/12/2019,18591,50
20/12/2019,7045,50
21/12/2019,37818,50
22/12/2019,40241,50
23/12/2019,10610,50
24/12/2019,25262,50
25/12/2019,27846,50
26/12/2019,26427,23
27/12/2019,42692,50
28/12/2019,64448,50
29/12/2019,22172,32
30/12/2019,20475,50
31/12/2019,14241,50
01/01/2020,15621,0
02/01/2020,18431,50
03/01/2020,19823,37
04/01/2020,27424,48
05/01/2020,21448,31
06/01/2020,15023,25
07/01/2020,22155,0
08/01/2020,14297,50
09/01/2020,8555,0
10/01/2020,22750,50
11/01/2020,24099,37
12/01/2020,28865,50
13/01/2020,13265,50
14/01/2020,20370,50
15/01/2020,13931,50
16/01/2020,16882,50
17/01/2020,27623,50
18/01/2020,11705,50
19/01/2020,67897,40
20/01/2020,27887,38
21/01/2020,14119,50
22/01/2020,28676,32
23/01/2020,13920,50
24/01/2020,20958,41
25/01/2020,7765,0
26/01/2020,24938,45
27/01/2020,9915,50
28/01/2020,13986,50
29/01/2020,50289,50
30/01/2020,7030,50
31/01/2020,21718,50
01/02/2020,18010,50
02/02/2020,43305,43
03/02/2020,14187,50
04/02/2020,21807,50
05/02/2020,10898,0
06/02/2020,22121,50
07/02/2020,16072,50
08/02/2020,20573,41
09/02/2020,22386,50
10/02/2020,13459,50
11/02/2020,15526,50
12/02/2020,4325,50
13/02/2020,27119,46
14/02/2020,30855,42
15/02/2020,50735,50
16/02/2020,18830,50
17/02/2020,21795,0
18/02/2020,14071,50
19/02/2020,26306,50
20/02/2020,32828,50
21/02/2020,32733,50
22/02/2020,20212,50
23/02/2020,16948,50
24/02/2020,15768,50
25/02/2020,10360,50
26/02/2020,19846,50
27/02/2020,22050,50
28/02/2020,58189,50
29/02/2020,23169,37
01/03/2020,20207,50
02/03/2020,44167,50
03/03/2020,9505,0
04/03/2020,29216,50
05/03/2020,43227,48
06/03/2020,4400,50
07/03/2020,28776,50
08/03/2020,18631,50
09/03/2020,12780,50
10/03/2020,24326,50
11/03/2020,9765,50
12/03/2020,15974,37
13/03/2020,9056,50
14/03/2020,12735,50
15/03/2020,8678,50
16/03/2020,22132,0
17/03/2020,9597,50
18/03/2020,19876,50
19/03/2020,8280,0
20/03/2020,7501,0
01/05/2020,13221,25
18/05/2020,36559,43
19/05/2020,51716,50
20/05/2020,43078,50
21/05/2020,38077,50
22/05/2020,73117,50
23/05/2020,41806,50
27/05/2020,9905,0
28/05/2020,13310,0
30/05/2020,11424,0
31/05/2020,8280,50
01/06/2020,14295,50
02/06/2020,4080,50
03/06/2020,11066,0
04/06/2020,20781,50
05/06/2020,21365,50
08/06/2020,13286,50
09/06/2020,17325,50
10/06/2020,6589,0
11/06/2020,22010,0
12/06/2020,13555,0
15/06/2020,5760,0
16/06/2020,6370,0
17/06/2020,6859,50
18/06/2020,6105,50
19/06/2020,17230,50
22/06/2020,9436,0
23/06/2020,14865,50
24/06/2020,20391,50
06/07/2020,3155,0
07/07/2020,46697,50
08/07/2020,14650,0
09/07/2020,24158,44
10/07/2020,28100,50
13/07/2020,45133,0
14/07/2020,16340,50
15/07/2020,15441,0
16/07/2020,8385,0
17/07/2020,14155,0
20/07/2020,21980,0
21/07/2020,13925,0
22/07/2020,12800,0
23/07/2020,29007,50
24/07/2020,29665,0
27/07/2020,63535,50
03/08/2020,17733,11
04/08/2020,17640,50
05/08/2020,26365,0
06/08/2020,9715,50
07/08/2020,14421,50
10/08/2020,34923,44
11/08/2020,31041,50
12/08/2020,25411,50
13/08/2020,20835,0
14/08/2020,8665,50
15/08/2020,24352,50
16/08/2020,23786,44
17/08/2020,22160,50
18/08/2020,18830,50
19/08/2020,12800,50
20/08/2020,7925,50
21/08/2020,18583,0
22/08/2020,26120,50
23/08/2020,13605,50
24/08/2020,11205,50
25/08/2020,7085,50
26/08/2020,24762,50
27/08/2020,8135,50
28/08/2020,7850,50
31/08/2020,36830,0
01/09/2020,65378,50
02/09/2020,16115,50
03/09/2020,8710,50
04/09/2020,13146,50
05/09/2020,22075,0
06/09/2020,21147,50
07/09/2020,40931,50
08/09/2020,17610,50
09/09/2020,21542,50
10/09/2020,19460,0
11/09/2020,21855,50
12/09/2020,55015,50
13/09/2020,12235,50
14/09/2020,12490,0
15/09/2020,24300,50
16/09/2020,18705,50
17/09/2020,21180,0
18/09/2020,9235,50
19/09/2020,35520,50
20/09/2020,24295,50
21/09/2020,11786,50
22/09/2020,46790,50
23/09/2020,20300,50
24/09/2020,29832,50
25/09/2020,11300,50
26/09/2020,28005,50
27/09/2020,18965,50
28/09/2020,17890,50
