Category,Item Code,Item Description,Bar Code,Opening,Purchase,Sale,Closing
BRA SET,EMANUEL,ORKIDE,101185,0,4,3,1
BRA SET,GO4720,GOLGE,101207,0,9,8,1
BRA SET,HBLHUL513,SABINA,101118,0,6,4,2
BRA SET,E1930,NON B,101147,0,24,24,0
BRA SET,NU4385,NURTEKS,101166,0,12,10,2
BRA SET,NU4440,NURTEKS,101167,0,10,6,4
BRA SET,NU4491,NURTEKS,101168,0,6,4,2
BRA SET,NU4340,NURTEEKS,101250,0,4,1,3
BRA SET,GO9700,GOLGE,101251,0,9,6,3
BRA SET,KK173,CANSOY,101230,0,12,11,1
BRA SET,E1939,NON B,101237,0,36,30,6
BRA SET,CA17004,NON B,101238,0,8,6,2
BRA SET,GO8900,GOLGE,101320,0,3,1,2
BRA SET,GO8300,GOLGE,101321,0,10,3,7
BRA SET,GO9500,GOLGE,101322,0,3,1,2
BRA SET,AN4774,ANIL,101323,0,3,2,1
BRA SET,E1945,NON B,101355,0,18,8,10
BRA SET,NU4334,NURTEKS,101369,0,6,0,6
BRA SET,NU4412,NURTEKS,101370,0,3,0,3
BRA SET,NU4434,NURTEKS,101371,0,4,0,4
BRA SET,VS061,VICTORIA SECRET,101376,0,16,0,16
BRA SET [NP],LSH005,LAIKA,101210,0,1,1,0
BRA SET [NP],LTA001,LAIKA,101211,0,19,17,2
BRA SET [NP],LKI002,LAIKA,101212,0,51,28,23
BRA SET [NP],LFI003,LAIKA,101213,0,1,1,0
BRA SET [NP],LAF004,LAIKA,101214,0,26,15,11
BUSTIYER,YI2702,YENI INCI,100102,3,0,3,0
BUSTIYER,PC4487,PIER CARDIN,100103,3,0,1,2
BUSTIYER,AN5575,ANIL,100104,4,4,7,1
BUSTIYER,GO5660,GOLGE,101282,0,3,1,2
CAMISOLE,VG2140,NON BR,100105,5,0,5,0
CAMISOLE,VG1401,NON BR,100106,12,27,39,0
CAMISOLE,SH1288,NON BR,100107,9,0,9,0
CAMISOLE,SH82756-B,NON BR,100108,8,12,20,0
CAMISOLE,SH876,NON BR,100109,9,12,21,0
CAMISOLE,VG214,NON BR,100110,6,1,7,0
CAMISOLE,SH872,NON BR,100111,12,0,12,0
CAMISOLE,SH7400,NON BR,100112,15,25,40,0
CAMISOLE,SH826,NON BR,100287,0,34,34,0
CAMISOLE,SH904,NON BR,100288,0,30,30,0
CAMISOLE,SH838,NON BR,100289,0,10,10,0
CAMISOLE,SH2503,NON BR,100339,0,2,2,0
CAMISOLE,SH636,NON BR,100340,0,7,7,0
CAMISOLE,VG213,NON BR,100341,0,6,6,0
CAMISOLE,BONDYMIX,BONDY,100342,0,12,12,0
CAMISOLE,SH852,NON B,100398,0,8,8,0
CAMISOLE,SH871,NON B,100399,0,23,23,0
CAMISOLE,NKA52,NON BR,100467,0,24,24,0
CAMISOLE,NKLA-6,NON BR,100468,0,12,12,0
CAMISOLE,NK17,NON BR,100469,0,21,21,0
CAMISOLE,NKMA-6,NON BR,100470,0,7,7,0
CAMISOLE,NK3504,CAMISLE,100513,0,7,7,0
CAMISOLE,SH863,NONB,100539,0,16,16,0
CAMISOLE,SH8877,NON B,100540,0,18,17,1
CAMISOLE,E8089,NONB,100581,0,15,15,0
CAMISOLE,E241,NONB,100582,0,17,17,0
CAMISOLE,NK8805,NON B,100657,0,2,2,0
CAMISOLE,NK3001,NON B,100658,0,4,4,0
CAMISOLE,A1123,NON B,100684,0,6,6,0
CAMISOLE,A1607,NON B,100685,0,6,6,0
CAMISOLE,A1121,NON B,100686,0,26,23,3
CAMISOLE,F2902,NON B,100687,0,4,4,0
CAMISOLE,A1313,NON B,100688,0,36,36,0
CAMISOLE,HS302,NON B,100689,0,17,17,0
CAMISOLE,H5280,NON B,100690,0,24,24,0
CAMISOLE,H060,NON B,100691,0,60,60,0
CAMISOLE,NK8783,NON B,100758,0,13,14,-1
CAMISOLE,K605,NON B,100759,0,15,15,0
CAMISOLE,J1904,NON B,100760,0,33,33,0
CAMISOLE,J886227,NON B,100761,0,16,16,0
